Assembly	SRR11622180_scaffolds
# contigs (>= 0 bp)	44
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31629
Total length (>= 1000 bp)	13067
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	2879
Total length	22684
Reference length	29903
GC (%)	38.43
Reference GC (%)	37.97
N50	1297
NG50	983
N75	685
NG75	635
L50	6
LG50	9
L75	12
LG75	20
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	73.544
Duplication ratio	1.031
# N's per 100 kbp	0.00
# mismatches per 100 kbp	18.19
# indels per 100 kbp	0.00
# genomic features	20 + 17 part
Largest alignment	2879
Total aligned length	22684
NA50	1297
NGA50	983
NA75	685
NGA75	635
LA50	6
LGA50	9
LA75	12
LGA75	20
