Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27453
Total length (>= 1000 bp)	26887
Total length (>= 5000 bp)	23713
Total length (>= 10000 bp)	11349
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	11349
Total length	27453
Reference length	29903
GC (%)	37.53
Reference GC (%)	37.97
N50	6533
NG50	6533
N75	5831
NG75	5831
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	88.703
Duplication ratio	1.035
# N's per 100 kbp	1012.64
# mismatches per 100 kbp	67.86
# indels per 100 kbp	18.85
# genomic features	32 + 17 part
Largest alignment	11071
Total aligned length	27175
NA50	6533
NGA50	6533
NA75	5831
NGA75	5831
LA50	2
LGA50	2
LA75	3
LGA75	3
