Assembly	Scaffolds
# contigs (>= 0 bp)	18
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32656
Total length (>= 1000 bp)	29369
Total length (>= 5000 bp)	5626
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	5626
Total length	30495
Reference length	29903
GC (%)	37.79
Reference GC (%)	37.97
N50	3332
NG50	3332
N75	2326
NG75	2326
L50	4
LG50	4
L75	6
LG75	6
# misassemblies	4
# misassembled contigs	2
Misassembled contigs length	4826
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	86.373
Duplication ratio	1.181
# N's per 100 kbp	0.00
# mismatches per 100 kbp	38.72
# indels per 100 kbp	3.87
# genomic features	32 + 17 part
Largest alignment	5626
Total aligned length	30446
NA50	3313
NGA50	3313
NA75	1524
NGA75	1524
LA50	4
LGA50	4
LA75	7
LGA75	7
