Assembly	Scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30697
Total length (>= 1000 bp)	28465
Total length (>= 5000 bp)	14055
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	8311
Total length	29764
Reference length	29903
GC (%)	38.11
Reference GC (%)	37.97
N50	4552
NG50	4552
N75	3983
NG75	3983
L50	3
LG50	3
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.807
Duplication ratio	1.050
# N's per 100 kbp	399.81
# mismatches per 100 kbp	63.49
# indels per 100 kbp	10.58
# genomic features	28 + 21 part
Largest alignment	8311
Total aligned length	29642
NA50	4551
NGA50	4551
NA75	3864
NGA75	3864
LA50	3
LGA50	3
LA75	4
LGA75	4
