Assembly	Scaffolds
# contigs (>= 0 bp)	22
# contigs (>= 1000 bp)	16
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32891
Total length (>= 1000 bp)	29900
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	4253
Total length	32247
Reference length	29903
GC (%)	38.16
Reference GC (%)	37.97
N50	2149
NG50	2149
N75	1236
NG75	1481
L50	6
LG50	6
L75	11
LG75	10
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	5356
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.824
Duplication ratio	1.174
# N's per 100 kbp	1516.42
# mismatches per 100 kbp	14.57
# indels per 100 kbp	0.00
# genomic features	24 + 21 part
Largest alignment	2955
Total aligned length	31738
NA50	2074
NGA50	2074
NA75	1133
NGA75	1375
LA50	7
LGA50	7
LA75	13
LGA75	11
