Assembly	Scaffolds
# contigs (>= 0 bp)	17
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29512
Total length (>= 1000 bp)	25050
Total length (>= 5000 bp)	6258
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	6258
Total length	28106
Reference length	29903
GC (%)	38.33
Reference GC (%)	37.97
N50	2267
NG50	2267
N75	1652
NG75	1561
L50	4
LG50	4
L75	7
LG75	8
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	3391
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	87.697
Duplication ratio	1.072
# N's per 100 kbp	0.00
# mismatches per 100 kbp	34.32
# indels per 100 kbp	3.81
# genomic features	28 + 17 part
Largest alignment	6229
Total aligned length	28019
NA50	2267
NGA50	2267
NA75	1640
NGA75	1561
LA50	4
LGA50	4
LA75	7
LGA75	8
