Assembly	scaffolds
# contigs (>= 0 bp)	100
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	61365
Total length (>= 1000 bp)	37435
Total length (>= 5000 bp)	30185
Total length (>= 10000 bp)	30185
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	19445
Total length	42962
Reference length	29903
GC (%)	43.55
Reference GC (%)	37.97
N50	10740
NG50	19445
N75	2087
NG75	10740
L50	2
LG50	1
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	14 + 0 part
Unaligned length	12767
Genome fraction (%)	99.736
Duplication ratio	1.012
# N's per 100 kbp	256.04
# mismatches per 100 kbp	33.53
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	19345
Total aligned length	29879
NA50	10534
NGA50	19345
NGA75	10534
LA50	2
LGA50	1
LGA75	2
