Assembly	SRR12109452_scaffolds
# contigs (>= 0 bp)	172
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37815
Total length (>= 1000 bp)	20256
Total length (>= 5000 bp)	6014
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	6014
Total length	27570
Reference length	29903
GC (%)	38.59
Reference GC (%)	37.97
N50	3725
NG50	1743
N75	936
NG75	820
L50	3
LG50	4
L75	8
LG75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2 + 0 part
Unaligned length	1098
Genome fraction (%)	88.168
Duplication ratio	1.004
# N's per 100 kbp	569.46
# mismatches per 100 kbp	26.55
# indels per 100 kbp	18.96
# genomic features	32 + 17 part
Largest alignment	6014
Total aligned length	26472
NA50	3725
NGA50	1743
NA75	936
NGA75	820
LA50	3
LGA50	4
LA75	8
LGA75	10
