Assembly	SRR11826828_scaffolds
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30021
Total length (>= 1000 bp)	27741
Total length (>= 5000 bp)	27741
Total length (>= 10000 bp)	27741
Total length (>= 25000 bp)	27741
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	27741
Total length	29263
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	27741
NG50	27741
N75	27741
NG75	27741
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.886
Duplication ratio	1.000
# N's per 100 kbp	3.42
# mismatches per 100 kbp	20.50
# indels per 100 kbp	3.42
# genomic features	36 + 5 part
Largest alignment	27741
Total aligned length	29263
NA50	27741
NGA50	27741
NA75	27741
NGA75	27741
LA50	1
LGA50	1
LA75	1
LGA75	1
