Assembly	SRR11915884_scaffolds
# contigs (>= 0 bp)	50
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	26790
Total length (>= 1000 bp)	5149
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	2285
Total length	17600
Reference length	29903
GC (%)	38.25
Reference GC (%)	37.97
N50	847
NG50	667
N75	678
L50	7
LG50	16
L75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	58.001
Duplication ratio	1.015
# N's per 100 kbp	85.23
# mismatches per 100 kbp	46.13
# indels per 100 kbp	17.30
# genomic features	12 + 33 part
Largest alignment	2285
Total aligned length	17579
NA50	847
NGA50	667
NA75	678
LA50	7
LGA50	16
LA75	14
