Assembly	SRR11578032_scaffolds
# contigs (>= 0 bp)	76
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31979
Total length (>= 1000 bp)	19213
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	4215
Total length	23795
Reference length	29903
GC (%)	37.88
Reference GC (%)	37.97
N50	1701
NG50	1212
N75	1102
NG75	546
L50	5
LG50	8
L75	10
LG75	16
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	79.183
Duplication ratio	1.005
# N's per 100 kbp	210.13
# mismatches per 100 kbp	21.12
# indels per 100 kbp	4.22
# genomic features	16 + 25 part
Largest alignment	4215
Total aligned length	23795
NA50	1701
NGA50	1212
NA75	1102
NGA75	546
LA50	5
LGA50	8
LA75	10
LGA75	16
