Assembly	SRR11577969_scaffolds
# contigs (>= 0 bp)	18
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27589
Total length (>= 1000 bp)	25050
Total length (>= 5000 bp)	11264
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	5671
Total length	26252
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	4483
NG50	4483
N75	2538
NG75	2177
L50	3
LG50	3
L75	5
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	87.787
Duplication ratio	1.000
# N's per 100 kbp	38.09
# mismatches per 100 kbp	30.48
# indels per 100 kbp	3.81
# genomic features	28 + 21 part
Largest alignment	5671
Total aligned length	26252
NA50	4483
NGA50	4483
NA75	2538
NGA75	2177
LA50	3
LGA50	3
LA75	5
LGA75	6
