Assembly	scaffolds
# contigs (>= 0 bp)	71
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	58925
Total length (>= 1000 bp)	29553
Total length (>= 5000 bp)	20496
Total length (>= 10000 bp)	20496
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	20496
Total length	38282
Reference length	29903
GC (%)	40.51
Reference GC (%)	37.97
N50	20496
NG50	20496
N75	4421
NG75	4636
L50	1
LG50	1
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	16 + 0 part
Unaligned length	8729
Genome fraction (%)	98.465
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	10.19
# indels per 100 kbp	3.40
# genomic features	40 + 9 part
Largest alignment	20389
Total aligned length	29445
NA50	20389
NGA50	20389
NA75	4420
NGA75	4636
LA50	1
LGA50	1
LA75	3
LGA75	2
