Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	42967
Total length (>= 1000 bp)	42269
Total length (>= 5000 bp)	38928
Total length (>= 10000 bp)	32288
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	20842
Total length	42967
Reference length	29903
GC (%)	38.22
Reference GC (%)	37.97
N50	11446
NG50	20842
N75	11446
NG75	11446
L50	2
LG50	1
L75	2
LG75	2
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	32288
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.994
Duplication ratio	1.497
# N's per 100 kbp	0.00
# mismatches per 100 kbp	97.54
# indels per 100 kbp	6.97
# genomic features	32 + 17 part
Largest alignment	13245
Total aligned length	42956
NA50	6640
NGA50	7597
NA75	5733
NGA75	6640
LA50	3
LGA50	2
LA75	4
LGA75	3
