Assembly	Scaffolds
# contigs (>= 0 bp)	34
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	43952
Total length (>= 1000 bp)	35163
Total length (>= 5000 bp)	29771
Total length (>= 10000 bp)	29771
Total length (>= 25000 bp)	29771
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	29771
Total length	38316
Reference length	29903
GC (%)	38.89
Reference GC (%)	37.97
N50	29771
NG50	29771
N75	29771
NG75	29771
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	9 + 0 part
Unaligned length	8443
Genome fraction (%)	99.137
Duplication ratio	1.008
# N's per 100 kbp	595.05
# mismatches per 100 kbp	26.99
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	29645
Total aligned length	29645
NA50	29645
NGA50	29645
NA75	29645
NGA75	29645
LA50	1
LGA50	1
LA75	1
LGA75	1
