Assembly	SRR11915924_scaffolds
# contigs (>= 0 bp)	222
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	46627
Total length (>= 1000 bp)	9243
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	23
Largest contig	2781
Total length	21211
Reference length	29903
GC (%)	37.86
Reference GC (%)	37.97
N50	976
NG50	674
N75	669
L50	8
LG50	13
L75	15
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	70.605
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	28.42
# indels per 100 kbp	0.00
# genomic features	4 + 25 part
Largest alignment	2781
Total aligned length	21211
NA50	976
NGA50	674
NA75	669
LA50	8
LGA50	13
LA75	15
