Assembly	SRR11622209_scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29555
Total length (>= 1000 bp)	28898
Total length (>= 5000 bp)	26126
Total length (>= 10000 bp)	19525
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19525
Total length	28898
Reference length	29903
GC (%)	37.95
Reference GC (%)	37.97
N50	19525
NG50	19525
N75	6601
NG75	6601
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.402
Duplication ratio	1.002
# N's per 100 kbp	283.76
# mismatches per 100 kbp	24.28
# indels per 100 kbp	3.47
# genomic features	36 + 13 part
Largest alignment	19525
Total aligned length	28866
NA50	19525
NGA50	19525
NA75	6569
NGA75	6569
LA50	1
LGA50	1
LA75	2
LGA75	2
