Assembly	Scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32746
Total length (>= 1000 bp)	32746
Total length (>= 5000 bp)	32746
Total length (>= 10000 bp)	26565
Total length (>= 25000 bp)	26565
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	26565
Total length	32746
Reference length	29903
GC (%)	37.93
Reference GC (%)	37.97
N50	26565
NG50	26565
N75	26565
NG75	26565
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	6181
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.706
Duplication ratio	1.098
# N's per 100 kbp	0.00
# mismatches per 100 kbp	36.89
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	26565
Total aligned length	32746
NA50	26565
NGA50	26565
NA75	26565
NGA75	26565
LA50	1
LGA50	1
LA75	1
LGA75	1
