Assembly	scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30192
Total length (>= 1000 bp)	29137
Total length (>= 5000 bp)	29137
Total length (>= 10000 bp)	29137
Total length (>= 25000 bp)	29137
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	29137
Total length	29718
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	29137
NG50	29137
N75	29137
NG75	29137
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.783
Duplication ratio	1.006
# N's per 100 kbp	336.50
# mismatches per 100 kbp	20.31
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	29037
Total aligned length	29594
NA50	29037
NGA50	29037
NA75	29037
NGA75	29037
LA50	1
LGA50	1
LA75	1
LGA75	1
