Assembly	Scaffolds
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	23857
Total length (>= 1000 bp)	23857
Total length (>= 5000 bp)	23857
Total length (>= 10000 bp)	23857
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	23857
Total length	23857
Reference length	29903
GC (%)	38.27
Reference GC (%)	37.97
N50	23857
NG50	23857
N75	23857
NG75	23857
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	79.775
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.54
# indels per 100 kbp	12.58
# genomic features	32 + 13 part
Largest alignment	23849
Total aligned length	23849
NA50	23849
NGA50	23849
NA75	23849
NGA75	23849
LA50	1
LGA50	1
LA75	1
LGA75	1
