Assembly	Scaffolds
# contigs (>= 0 bp)	25
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33701
Total length (>= 1000 bp)	28729
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	17
Largest contig	4893
Total length	31182
Reference length	29903
GC (%)	38.09
Reference GC (%)	37.97
N50	2138
NG50	2138
N75	1406
NG75	1580
L50	5
LG50	5
L75	10
LG75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	4
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	86.433
Duplication ratio	1.206
# N's per 100 kbp	2478.99
# mismatches per 100 kbp	27.08
# indels per 100 kbp	0.00
# genomic features	20 + 21 part
Largest alignment	4668
Total aligned length	30409
NA50	1965
NGA50	1981
NA75	1406
NGA75	1406
LA50	6
LGA50	5
LA75	10
LGA75	10
