Assembly	Scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32790
Total length (>= 1000 bp)	31844
Total length (>= 5000 bp)	9397
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	9397
Total length	32501
Reference length	29903
GC (%)	37.81
Reference GC (%)	37.97
N50	3549
NG50	3549
N75	2834
NG75	3067
L50	3
LG50	3
L75	6
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	5
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.967
Duplication ratio	1.121
# N's per 100 kbp	2181.47
# mismatches per 100 kbp	44.83
# indels per 100 kbp	3.45
# genomic features	28 + 21 part
Largest alignment	9002
Total aligned length	31791
NA50	3440
NGA50	3440
NA75	2834
NGA75	3067
LA50	3
LGA50	3
LA75	6
LGA75	5
