Assembly	SRR11915914_scaffolds
# contigs (>= 0 bp)	20
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30042
Total length (>= 1000 bp)	24799
Total length (>= 5000 bp)	6950
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	6950
Total length	28960
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	3163
NG50	3163
N75	2162
NG75	1317
L50	4
LG50	4
L75	6
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.108
Duplication ratio	1.018
# N's per 100 kbp	0.00
# mismatches per 100 kbp	38.68
# indels per 100 kbp	3.52
# genomic features	20 + 25 part
Largest alignment	6950
Total aligned length	28960
NA50	3163
NGA50	3163
NA75	2162
NGA75	1317
LA50	4
LGA50	4
LA75	6
LGA75	7
