Assembly	SRR11826966_scaffolds
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35801
Total length (>= 1000 bp)	29883
Total length (>= 5000 bp)	25640
Total length (>= 10000 bp)	25640
Total length (>= 25000 bp)	25640
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	25640
Total length	33337
Reference length	29903
GC (%)	38.49
Reference GC (%)	37.97
N50	25640
NG50	25640
N75	25640
NG75	25640
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	4 + 0 part
Unaligned length	3454
Genome fraction (%)	99.689
Duplication ratio	1.002
# N's per 100 kbp	149.98
# mismatches per 100 kbp	23.48
# indels per 100 kbp	3.35
# genomic features	44 + 5 part
Largest alignment	25640
Total aligned length	29883
NA50	25640
NGA50	25640
NA75	25640
NGA75	25640
LA50	1
LGA50	1
LA75	1
LGA75	1
