Assembly	Scaffolds
# contigs (>= 0 bp)	34
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	42298
Total length (>= 1000 bp)	33275
Total length (>= 5000 bp)	29823
Total length (>= 10000 bp)	29823
Total length (>= 25000 bp)	29823
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	29823
Total length	36155
Reference length	29903
GC (%)	38.94
Reference GC (%)	37.97
N50	29823
NG50	29823
N75	29823
NG75	29823
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	7 + 0 part
Unaligned length	6332
Genome fraction (%)	99.729
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.47
# indels per 100 kbp	3.35
# genomic features	48 + 1 part
Largest alignment	29823
Total aligned length	29823
NA50	29823
NGA50	29823
NA75	29823
NGA75	29823
LA50	1
LGA50	1
LA75	1
LGA75	1
