Assembly	SRR11494564_scaffolds
# contigs (>= 0 bp)	280
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	52163
Total length (>= 1000 bp)	10222
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	2529
Total length	19629
Reference length	29903
GC (%)	37.30
Reference GC (%)	37.97
N50	1013
NG50	702
N75	702
L50	7
LG50	13
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	64.993
Duplication ratio	1.010
# N's per 100 kbp	254.73
# mismatches per 100 kbp	0.00
# indels per 100 kbp	5.15
# genomic features	16 + 25 part
Largest alignment	2529
Total aligned length	19629
NA50	1013
NGA50	702
NA75	702
LA50	7
LGA50	13
LA75	13
