Assembly	Scaffolds
# contigs (>= 0 bp)	17
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29411
Total length (>= 1000 bp)	26440
Total length (>= 5000 bp)	5625
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	5625
Total length	28207
Reference length	29903
GC (%)	38.04
Reference GC (%)	37.97
N50	2528
NG50	2052
N75	1533
NG75	1293
L50	4
LG50	5
L75	8
LG75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.636
Duplication ratio	1.052
# N's per 100 kbp	0.00
# mismatches per 100 kbp	44.77
# indels per 100 kbp	37.31
# genomic features	16 + 25 part
Largest alignment	5625
Total aligned length	28207
NA50	2528
NGA50	2052
NA75	1533
NGA75	1293
LA50	4
LGA50	5
LA75	8
LGA75	9
