Assembly	SRR12162375_scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29518
Total length (>= 1000 bp)	28964
Total length (>= 5000 bp)	22331
Total length (>= 10000 bp)	17073
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	17073
Total length	29518
Reference length	29903
GC (%)	37.94
Reference GC (%)	37.97
N50	17073
NG50	17073
N75	5258
NG75	3162
L50	1
LG50	1
L75	2
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.261
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.63
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	17073
Total aligned length	29518
NA50	17073
NGA50	17073
NA75	5258
NGA75	3162
LA50	1
LGA50	1
LA75	2
LGA75	3
