Assembly	Scaffolds
# contigs (>= 0 bp)	19
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29117
Total length (>= 1000 bp)	24530
Total length (>= 5000 bp)	6503
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	6503
Total length	27608
Reference length	29903
GC (%)	38.30
Reference GC (%)	37.97
N50	2239
NG50	2120
N75	1561
NG75	1515
L50	4
LG50	5
L75	8
LG75	9
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	9968
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	85.650
Duplication ratio	1.078
# N's per 100 kbp	0.00
# mismatches per 100 kbp	42.95
# indels per 100 kbp	7.81
# genomic features	28 + 17 part
Largest alignment	6229
Total aligned length	27549
NA50	2094
NGA50	2094
NA75	1561
NGA75	1255
LA50	5
LGA50	5
LA75	8
LGA75	10
