Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	26724
Total length (>= 1000 bp)	26724
Total length (>= 5000 bp)	17086
Total length (>= 10000 bp)	10619
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	10619
Total length	26724
Reference length	29903
GC (%)	37.86
Reference GC (%)	37.97
N50	6467
NG50	6467
N75	3824
NG75	3189
L50	2
LG50	2
L75	3
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	83.734
Duplication ratio	1.067
# N's per 100 kbp	1021.55
# mismatches per 100 kbp	31.95
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	10346
Total aligned length	26451
NA50	6467
NGA50	6467
NA75	3824
NGA75	3189
LA50	2
LGA50	2
LA75	3
LGA75	4
