Assembly	SRR11607622_scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29709
Total length (>= 1000 bp)	29576
Total length (>= 5000 bp)	29576
Total length (>= 10000 bp)	29576
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19291
Total length	29576
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	19291
NG50	19291
N75	10285
NG75	10285
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.719
Duplication ratio	1.002
# N's per 100 kbp	169.06
# mismatches per 100 kbp	27.10
# indels per 100 kbp	3.39
# genomic features	44 + 5 part
Largest alignment	19291
Total aligned length	29576
NA50	19291
NGA50	19291
NA75	10285
NGA75	10285
LA50	1
LGA50	1
LA75	2
LGA75	2
