Assembly	SRR11915884_scaffolds
# contigs (>= 0 bp)	36
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25128
Total length (>= 1000 bp)	15817
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	4686
Total length	20573
Reference length	29903
GC (%)	38.16
Reference GC (%)	37.97
N50	2176
NG50	1283
N75	1283
L50	3
LG50	6
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	68.799
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	29.16
# indels per 100 kbp	4.86
# genomic features	28 + 17 part
Largest alignment	4686
Total aligned length	20573
NA50	2176
NGA50	1283
NA75	1283
LA50	3
LGA50	6
LA75	6
