Assembly	scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31144
Total length (>= 1000 bp)	29806
Total length (>= 5000 bp)	29806
Total length (>= 10000 bp)	29806
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19384
Total length	30472
Reference length	29903
GC (%)	38.29
Reference GC (%)	37.97
N50	19384
NG50	19384
N75	10422
NG75	10422
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	666
Genome fraction (%)	99.351
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.20
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	19287
Total aligned length	29709
NA50	19287
NGA50	19287
NA75	10422
NGA75	10422
LA50	1
LGA50	1
LA75	2
LGA75	2
