Assembly	SRR11622192_scaffolds
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29791
Total length (>= 1000 bp)	29571
Total length (>= 5000 bp)	29571
Total length (>= 10000 bp)	22291
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	22291
Total length	29571
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	22291
NG50	22291
N75	22291
NG75	7280
L50	1
LG50	1
L75	1
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.054
Duplication ratio	0.998
# N's per 100 kbp	246.86
# mismatches per 100 kbp	33.76
# indels per 100 kbp	6.75
# genomic features	44 + 5 part
Largest alignment	22291
Total aligned length	29571
NA50	22291
NGA50	22291
NA75	22291
NGA75	7280
LA50	1
LGA50	1
LA75	1
LGA75	2
