Assembly	SRR11622158_scaffolds
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29574
Total length (>= 1000 bp)	27575
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	3849
Total length	28834
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	2199
NG50	2199
N75	1844
NG75	1601
L50	5
LG50	5
L75	8
LG75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.211
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	28.10
# indels per 100 kbp	0.00
# genomic features	24 + 21 part
Largest alignment	3849
Total aligned length	28834
NA50	2199
NGA50	2199
NA75	1844
NGA75	1601
LA50	5
LGA50	5
LA75	8
LGA75	9
