Assembly	scaffolds
# contigs (>= 0 bp)	1458
# contigs (>= 1000 bp)	25
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	396273
Total length (>= 1000 bp)	52932
Total length (>= 5000 bp)	13655
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	73
Largest contig	8390
Total length	85760
Reference length	29903
GC (%)	44.48
Reference GC (%)	37.97
N50	1253
NG50	4085
N75	782
NG75	3288
L50	16
LG50	3
L75	39
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	65 + 0 part
Unaligned length	56873
Genome fraction (%)	96.325
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.77
# indels per 100 kbp	10.42
# genomic features	32 + 13 part
Largest alignment	8390
Total aligned length	28801
NGA50	4085
NGA75	3288
LGA50	3
LGA75	5
