Assembly	Scaffolds
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28574
Total length (>= 1000 bp)	25978
Total length (>= 5000 bp)	5807
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	5807
Total length	27941
Reference length	29903
GC (%)	37.93
Reference GC (%)	37.97
N50	2737
NG50	2737
N75	2164
NG75	1705
L50	4
LG50	4
L75	6
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	92.977
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	32.37
# indels per 100 kbp	10.79
# genomic features	20 + 25 part
Largest alignment	5807
Total aligned length	27940
NA50	2737
NGA50	2737
NA75	2164
NGA75	1705
LA50	4
LGA50	4
LA75	6
LGA75	7
