Assembly	SRR11513116_scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30463
Total length (>= 1000 bp)	29702
Total length (>= 5000 bp)	26921
Total length (>= 10000 bp)	19329
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19329
Total length	29702
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	19329
NG50	19329
N75	7592
NG75	7592
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.649
Duplication ratio	1.007
# N's per 100 kbp	168.34
# mismatches per 100 kbp	20.34
# indels per 100 kbp	3.39
# genomic features	40 + 9 part
Largest alignment	19240
Total aligned length	29613
NA50	19240
NGA50	19240
NA75	7592
NGA75	7592
LA50	1
LGA50	1
LA75	2
LGA75	2
