Assembly	SRR11577837_scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28932
Total length (>= 1000 bp)	27349
Total length (>= 5000 bp)	25746
Total length (>= 10000 bp)	19231
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	19231
Total length	28858
Reference length	29903
GC (%)	37.96
Reference GC (%)	37.97
N50	19231
NG50	19231
N75	6515
NG75	6515
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.505
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	17.33
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	19231
Total aligned length	28858
NA50	19231
NGA50	19231
NA75	6515
NGA75	6515
LA50	1
LGA50	1
LA75	2
LGA75	2
