Assembly	SRR12045921_scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29886
Total length (>= 1000 bp)	28977
Total length (>= 5000 bp)	26268
Total length (>= 10000 bp)	26268
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	15968
Total length	29561
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	15968
NG50	15968
N75	10300
NG75	10300
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.609
Duplication ratio	1.003
# N's per 100 kbp	169.14
# mismatches per 100 kbp	40.70
# indels per 100 kbp	3.39
# genomic features	40 + 9 part
Largest alignment	15968
Total aligned length	29561
NA50	15968
NGA50	15968
NA75	10300
NGA75	10300
LA50	1
LGA50	1
LA75	2
LGA75	2
