Assembly	SRR11578210_scaffolds
# contigs (>= 0 bp)	75
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34500
Total length (>= 1000 bp)	12853
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	2045
Total length	19254
Reference length	29903
GC (%)	38.53
Reference GC (%)	37.97
N50	1256
NG50	703
N75	708
L50	7
LG50	12
L75	11
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	656
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	63.194
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.04
# indels per 100 kbp	0.00
# genomic features	20 + 21 part
Largest alignment	2045
Total aligned length	19254
NA50	1256
NGA50	703
NA75	708
LA50	7
LGA50	12
LA75	11
