Assembly	SRR11622209_scaffolds
# contigs (>= 0 bp)	11
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29554
Total length (>= 1000 bp)	26961
Total length (>= 5000 bp)	13757
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	8632
Total length	28956
Reference length	29903
GC (%)	37.94
Reference GC (%)	37.97
N50	4664
NG50	4664
N75	4047
NG75	4047
L50	3
LG50	3
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.010
Duplication ratio	1.009
# N's per 100 kbp	227.93
# mismatches per 100 kbp	24.38
# indels per 100 kbp	3.48
# genomic features	28 + 17 part
Largest alignment	8612
Total aligned length	28920
NA50	4664
NGA50	4664
NA75	4047
NGA75	4047
LA50	3
LGA50	3
LA75	4
LGA75	4
