Assembly	SRR12161779_scaffolds
# contigs (>= 0 bp)	76
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31461
Total length (>= 1000 bp)	15796
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	3441
Total length	26153
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	1457
NG50	1230
N75	937
NG75	795
L50	5
LG50	7
L75	11
LG75	15
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	86.991
Duplication ratio	1.005
# N's per 100 kbp	195.01
# mismatches per 100 kbp	26.91
# indels per 100 kbp	3.84
# genomic features	16 + 25 part
Largest alignment	3441
Total aligned length	26153
NA50	1457
NGA50	1230
NA75	937
NGA75	795
LA50	5
LGA50	7
LA75	11
LGA75	15
