Assembly	Scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	13333
Total length (>= 1000 bp)	13230
Total length (>= 5000 bp)	13230
Total length (>= 10000 bp)	13230
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	13230
Total length	13230
Reference length	29903
GC (%)	38.73
Reference GC (%)	37.97
N50	13230
N75	13230
L50	1
L75	1
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	13230
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	39.688
Duplication ratio	1.115
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.70
# indels per 100 kbp	0.00
# genomic features	32 + 9 part
Largest alignment	11868
Total aligned length	13230
NA50	11868
NGA50	-
NA75	11868
LA50	1
LA75	1
