Assembly	SRR11494462_scaffolds
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30296
Total length (>= 1000 bp)	27589
Total length (>= 5000 bp)	20869
Total length (>= 10000 bp)	15285
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	15285
Total length	29552
Reference length	29903
GC (%)	37.98
Reference GC (%)	37.97
N50	15285
NG50	15285
N75	3728
NG75	3728
L50	1
LG50	1
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.910
Duplication ratio	1.009
# N's per 100 kbp	3.38
# mismatches per 100 kbp	30.74
# indels per 100 kbp	10.25
# genomic features	32 + 17 part
Largest alignment	15285
Total aligned length	29552
NA50	15285
NGA50	15285
NA75	3728
NGA75	3728
LA50	1
LGA50	1
LA75	3
LGA75	3
