Assembly	scaffolds
# contigs (>= 0 bp)	179
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	79451
Total length (>= 1000 bp)	40568
Total length (>= 5000 bp)	29957
Total length (>= 10000 bp)	29957
Total length (>= 25000 bp)	29957
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	29957
Total length	46528
Reference length	29903
GC (%)	40.18
Reference GC (%)	37.97
N50	29957
NG50	29957
N75	1539
NG75	29957
L50	1
LG50	1
L75	4
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	17 + 0 part
Unaligned length	16561
Genome fraction (%)	99.853
Duplication ratio	1.004
# N's per 100 kbp	21.49
# mismatches per 100 kbp	40.19
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29859
Total aligned length	29859
NA50	29859
NGA50	29859
NGA75	29859
LA50	1
LGA50	1
LGA75	1
