Assembly	Scaffolds
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31172
Total length (>= 1000 bp)	31172
Total length (>= 5000 bp)	22286
Total length (>= 10000 bp)	10073
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	10073
Total length	31172
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	6675
NG50	6675
N75	2862
NG75	2862
L50	2
LG50	2
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.646
Duplication ratio	1.068
# N's per 100 kbp	0.00
# mismatches per 100 kbp	34.25
# indels per 100 kbp	3.42
# genomic features	40 + 9 part
Largest alignment	10073
Total aligned length	31172
NA50	6675
NGA50	6675
NA75	2862
NGA75	2862
LA50	2
LGA50	2
LA75	4
LGA75	4
