Assembly	Scaffolds
# contigs (>= 0 bp)	269
# contigs (>= 1000 bp)	16
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	97594
Total length (>= 1000 bp)	35186
Total length (>= 5000 bp)	7866
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	43
Largest contig	7866
Total length	54563
Reference length	29903
GC (%)	42.78
Reference GC (%)	37.97
N50	1441
NG50	2539
N75	792
NG75	1873
L50	10
LG50	4
L75	23
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	30 + 0 part
Unaligned length	27457
Genome fraction (%)	84.824
Duplication ratio	1.069
# N's per 100 kbp	241.92
# mismatches per 100 kbp	55.19
# indels per 100 kbp	19.71
# genomic features	16 + 25 part
Largest alignment	7866
Total aligned length	26974
NGA50	2539
NGA75	1032
LGA50	4
LGA75	8
