Assembly	Scaffolds
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34317
Total length (>= 1000 bp)	30367
Total length (>= 5000 bp)	30367
Total length (>= 10000 bp)	30367
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19952
Total length	30943
Reference length	29903
GC (%)	38.38
Reference GC (%)	37.97
N50	19952
NG50	19952
N75	10415
NG75	10415
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	576
Genome fraction (%)	99.686
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	43.61
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	19952
Total aligned length	30367
NA50	19952
NGA50	19952
NA75	10415
NGA75	10415
LA50	1
LGA50	1
LA75	2
LGA75	2
