Assembly	scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29917
Total length (>= 1000 bp)	29861
Total length (>= 5000 bp)	29861
Total length (>= 10000 bp)	29861
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19440
Total length	29861
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	19440
NG50	19440
N75	10421
NG75	10421
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.171
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.60
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	19338
Total aligned length	29655
NA50	19338
NGA50	19338
NA75	10317
NGA75	10317
LA50	1
LGA50	1
LA75	2
LGA75	2
