Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32112
Total length (>= 1000 bp)	32112
Total length (>= 5000 bp)	21254
Total length (>= 10000 bp)	13891
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	13891
Total length	32112
Reference length	29903
GC (%)	38.13
Reference GC (%)	37.97
N50	7363
NG50	7363
N75	3978
NG75	3978
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.910
Duplication ratio	1.097
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.74
# indels per 100 kbp	30.74
# genomic features	40 + 9 part
Largest alignment	13891
Total aligned length	32109
NA50	7363
NGA50	7363
NA75	3976
NGA75	3976
LA50	2
LGA50	2
LA75	3
LGA75	3
