Assembly	SRR11494716_scaffolds
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30192
Total length (>= 1000 bp)	30192
Total length (>= 5000 bp)	30192
Total length (>= 10000 bp)	30192
Total length (>= 25000 bp)	30192
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	30192
Total length	30192
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	30192
NG50	30192
N75	30192
NG75	30192
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	3
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.706
Duplication ratio	1.013
# N's per 100 kbp	500.13
# mismatches per 100 kbp	30.19
# indels per 100 kbp	3.35
# genomic features	36 + 13 part
Largest alignment	30042
Total aligned length	30042
NA50	30042
NGA50	30042
NA75	30042
NGA75	30042
LA50	1
LGA50	1
LA75	1
LGA75	1
