Assembly	SRR11915924_scaffolds
# contigs (>= 0 bp)	240
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	61340
Total length (>= 1000 bp)	6464
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	1584
Total length	14249
Reference length	29903
GC (%)	38.18
Reference GC (%)	37.97
N50	946
N75	672
L50	6
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	6
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	43.782
Duplication ratio	1.088
# N's per 100 kbp	8849.74
# mismatches per 100 kbp	53.47
# indels per 100 kbp	38.19
# genomic features	4 + 25 part
Largest alignment	1584
Total aligned length	13412
NA50	895
NGA50	-
NA75	642
LA50	7
LA75	11
