Assembly	scaffolds
# contigs (>= 0 bp)	79
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	51276
Total length (>= 1000 bp)	31613
Total length (>= 5000 bp)	27541
Total length (>= 10000 bp)	27541
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	14077
Total length	36955
Reference length	29903
GC (%)	41.63
Reference GC (%)	37.97
N50	13464
NG50	13464
N75	2115
NG75	13464
L50	2
LG50	2
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	9 + 0 part
Unaligned length	7299
Genome fraction (%)	98.739
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.09
# indels per 100 kbp	3.39
# genomic features	32 + 17 part
Largest alignment	14025
Total aligned length	29502
NA50	13414
NGA50	13414
NA75	2063
NGA75	13414
LA50	2
LGA50	2
LA75	3
LGA75	2
