Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36399
Total length (>= 1000 bp)	36124
Total length (>= 5000 bp)	32661
Total length (>= 10000 bp)	19194
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	19194
Total length	36124
Reference length	29903
GC (%)	37.96
Reference GC (%)	37.97
N50	19194
NG50	19194
N75	5734
NG75	7733
L50	1
LG50	1
L75	3
LG75	2
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	26927
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.843
Duplication ratio	1.247
# N's per 100 kbp	0.00
# mismatches per 100 kbp	55.25
# indels per 100 kbp	10.36
# genomic features	28 + 17 part
Largest alignment	15221
Total aligned length	36122
NA50	6651
NGA50	15221
NA75	5734
NGA75	5734
LA50	2
LGA50	1
LA75	3
LGA75	3
