Assembly	SRR12162373_scaffolds
# contigs (>= 0 bp)	33
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30986
Total length (>= 1000 bp)	17265
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	26
Largest contig	1983
Total length	28353
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	1252
NG50	1252
N75	702
NG75	684
L50	9
LG50	9
L75	16
LG75	17
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.178
Duplication ratio	1.040
# N's per 100 kbp	3.53
# mismatches per 100 kbp	33.01
# indels per 100 kbp	3.67
# genomic features	24 + 21 part
Largest alignment	1983
Total aligned length	28353
NA50	1252
NGA50	1252
NA75	702
NGA75	684
LA50	9
LGA50	9
LA75	16
LGA75	17
