Assembly	SRR11494462_scaffolds
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30351
Total length (>= 1000 bp)	30272
Total length (>= 5000 bp)	30272
Total length (>= 10000 bp)	24546
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	24546
Total length	30272
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	24546
NG50	24546
N75	24546
NG75	24546
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.699
Duplication ratio	1.015
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.19
# indels per 100 kbp	3.35
# genomic features	40 + 9 part
Largest alignment	24546
Total aligned length	30272
NA50	24546
NGA50	24546
NA75	24546
NGA75	24546
LA50	1
LGA50	1
LA75	1
LGA75	1
