Assembly	Scaffolds
# contigs (>= 0 bp)	77
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	48177
Total length (>= 1000 bp)	29409
Total length (>= 5000 bp)	13001
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	7222
Total length	33421
Reference length	29903
GC (%)	38.87
Reference GC (%)	37.97
N50	3245
NG50	3521
N75	2518
NG75	3101
L50	4
LG50	3
L75	6
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	3 + 0 part
Unaligned length	1552
Genome fraction (%)	93.940
Duplication ratio	1.134
# N's per 100 kbp	795.91
# mismatches per 100 kbp	17.80
# indels per 100 kbp	53.40
# genomic features	32 + 13 part
Largest alignment	7222
Total aligned length	31603
NA50	3245
NGA50	3521
NA75	2518
NGA75	2835
LA50	4
LGA50	3
LA75	6
LGA75	5
