Assembly	SRR12045777_scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31889
Total length (>= 1000 bp)	31122
Total length (>= 5000 bp)	31122
Total length (>= 10000 bp)	13551
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	13551
Total length	31122
Reference length	29903
GC (%)	38.20
Reference GC (%)	37.97
N50	9988
NG50	9988
N75	9988
NG75	9988
L50	2
LG50	2
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.582
Duplication ratio	1.067
# N's per 100 kbp	160.66
# mismatches per 100 kbp	23.99
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	13412
Total aligned length	30983
NA50	9988
NGA50	9988
NA75	9988
NGA75	9988
LA50	2
LGA50	2
LA75	2
LGA75	2
