Assembly	SRR11494564_scaffolds
# contigs (>= 0 bp)	253
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	55654
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	967
Total length	4821
Reference length	29903
GC (%)	38.43
Reference GC (%)	37.97
N50	657
N75	616
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	15.878
Duplication ratio	1.015
# N's per 100 kbp	1929.06
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
# genomic features	8 + 21 part
Largest alignment	967
Total aligned length	4821
NA50	657
NGA50	-
NA75	616
LA50	4
LA75	6
