Assembly	SRR11622211_scaffolds
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29742
Total length (>= 1000 bp)	27331
Total length (>= 5000 bp)	11055
Total length (>= 10000 bp)	11055
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	11055
Total length	28981
Reference length	29903
GC (%)	37.98
Reference GC (%)	37.97
N50	4117
NG50	4117
N75	2199
NG75	2199
L50	2
LG50	2
L75	5
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	4
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.833
Duplication ratio	1.022
# N's per 100 kbp	821.23
# mismatches per 100 kbp	35.26
# indels per 100 kbp	7.05
# genomic features	28 + 17 part
Largest alignment	10905
Total aligned length	28794
NA50	4117
NGA50	4117
NA75	2199
NGA75	2199
LA50	2
LGA50	2
LA75	5
LGA75	5
