Assembly	Scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	26688
Total length (>= 1000 bp)	26026
Total length (>= 5000 bp)	24537
Total length (>= 10000 bp)	10850
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	10850
Total length	26026
Reference length	29903
GC (%)	37.78
Reference GC (%)	37.97
N50	8450
NG50	8450
N75	5237
NG75	5237
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	86.647
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	11.58
# indels per 100 kbp	27.02
# genomic features	32 + 13 part
Largest alignment	10850
Total aligned length	26026
NA50	8450
NGA50	8450
NA75	5237
NGA75	5237
LA50	2
LGA50	2
LA75	3
LGA75	3
