Assembly	Scaffolds
# contigs (>= 0 bp)	66
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	21449
Total length (>= 1000 bp)	1264
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	1264
Total length	7882
Reference length	29903
GC (%)	50.60
Reference GC (%)	37.97
N50	719
N75	670
L50	5
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	6 + 0 part
Unaligned length	4783
Genome fraction (%)	10.364
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	64.54
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	953
Total aligned length	3099
NGA50	-
