Assembly	scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29721
Total length (>= 1000 bp)	29056
Total length (>= 5000 bp)	26231
Total length (>= 10000 bp)	13735
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	13735
Total length	29721
Reference length	29903
GC (%)	37.94
Reference GC (%)	37.97
N50	6559
NG50	6559
N75	5937
NG75	5937
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.649
Duplication ratio	1.008
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.12
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	13735
Total aligned length	29600
NA50	6559
NGA50	6559
NA75	5893
NGA75	5893
LA50	2
LGA50	2
LA75	3
LGA75	3
